name,tier,anima,arbiter,bastion,brawler,bulwark,challenger,choose_trait,commander,conduit,dark_lady,dark_star,divine_duelist,doomer,eradicator,factory_new,fateweaver,galaxy_hunter,gun_goddess,marauder,mecha,meeple,n_o_v_a,oracle,party_animal,primordian,psionic,redeemer,replicator,rogue,shepherd,sniper,space_groove,stargazer,timebreaker,vanguard,voyager
Aatrox,1,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Briar,1,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,
Caitlyn,1,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,
Cho'Gath,1,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,
Leona,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Lissandra,1,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,x,,,,,,
Nasus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,
Poppy,1,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Rek'Sai,1,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Talon,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,
Teemo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,
Twisted Fate,1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,
Veigar,1,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,
Akali,2,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,
Bel'Veth,2,,,,,,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,
Gnar,2,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,
Gragas,2,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
Gwen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,
Jax,2,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Jinx,2,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meepsie,2,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x
Milio,2,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,
Mordekaiser,2,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,
Pantheon,2,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,
Pyke,2,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
Zoe,2,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,3,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Diana,3,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fizz,3,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,
Illaoi,3,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,
Kai'Sa,3,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,
Lulu,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,
Maokai,3,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Miss Fortune,3,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Ornn,3,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Rhaast,3,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Samira,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
Urgot,3,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,
Viktor,3,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,
Aurelion Sol,4,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Corki,4,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,
Karma,4,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Kindred,4,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
LeBlanc,4,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Master Yi,4,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,
Morgana,4,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,
Nunu & Willump,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,
Rammus,4,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Riven,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,
Tahm Kench,4,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Xayah,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,
Bard,5,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Blitzcrank,5,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,x,
Fiora,5,x,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Graves,5,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Jhin,5,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,,,,,
Shen,5,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Sona,5,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,
Vex,5,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,
Zed,5,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
